region,rainfall_mm,temperature,soil_moisture
Delhi,17.56,33.16,59.02
Delhi,31.44,29.21,57.07
Delhi,32.91,25.64,22.55
Delhi,25.27,27.67,55.72
Delhi,7.79,22.7,47.32
Delhi,38.7,27.93,27.58
Delhi,19.03,32.72,53.31
Delhi,12.49,34.88,31.53
Delhi,5.59,22.12,46.59
Delhi,31.23,31.1,24.58
Delhi,18.84,34.24,42.14
Delhi,12.16,28.99,36.34
Delhi,9.36,26.5,46.48
Delhi,31.36,28.5,26.68
Delhi,163.51,29.39,40.04
Delhi,27.85,28.1,45.21
Delhi,3.51,37.39,47.99
Delhi,38.77,33.47,30.89
Delhi,36.1,25.24,43.17
Delhi,34.26,33.51,45.09
Delhi,25.99,28.65,39.76
Delhi,5.78,31.4,57.0
Delhi,13.87,22.36,39.29
Delhi,3.31,29.85,42.87
Delhi,10.68,30.33,20.86
Delhi,35.85,30.86,46.89
Delhi,26.38,34.3,56.64
Delhi,1.5,27.93,52.33
Delhi,38.12,30.24,57.44
Delhi,1.8,37.88,49.94
Delhi,35.74,27.05,46.47
Delhi,3.78,26.2,29.64
Delhi,33.24,24.87,54.98
Delhi,12.41,37.55,25.76
Delhi,184.45,32.84,40.25
Delhi,23.24,34.87,49.56
Delhi,4.95,28.36,39.54
Delhi,38.22,36.8,98.17
Delhi,5.61,37.46,57.32
Delhi,18.7,22.29,53.18
Delhi,9.31,31.7,44.12
Delhi,14.97,32.43,38.16
Delhi,9.47,35.07,22.66
Delhi,5.85,26.97,56.84
Delhi,11.39,23.85,0.87
Delhi,23.65,28.3,40.18
Delhi,34.05,24.9,29.98
Delhi,16.65,27.98,24.07
Delhi,2.08,23.59,56.11
Delhi,32.08,32.28,25.38
Delhi,20.57,29.4,45.58
Delhi,5.59,28.67,34.7
Delhi,13.1,32.97,57.95
Delhi,19.24,30.57,46.1
Delhi,21.31,26.61,28.1
Delhi,34.43,31.83,49.03
Delhi,37.44,37.34,43.75
Delhi,31.8,26.05,23.8
Delhi,6.85,31.16,40.91
Delhi,31.97,31.59,24.79
Delhi,3.51,28.7,46.85
Delhi,35.93,26.33,32.58
Delhi,5.91,29.01,49.19
Delhi,37.45,29.67,59.47
Delhi,38.05,35.61,24.88
Delhi,27.44,46.36,31.81
Delhi,17.69,36.7,24.42
Delhi,35.17,35.39,59.96
Delhi,26.01,36.35,0.72
Delhi,7.93,32.5,20.22
Delhi,24.24,25.82,22.29
Delhi,37.11,33.17,21.61
Delhi,5.0,33.92,54.05
Delhi,29.38,26.33,59.21
Delhi,2.18,22.68,48.38
Delhi,3.67,37.68,51.36
Delhi,22.9,37.14,43.12
Delhi,25.97,24.38,36.16
Delhi,4.77,26.45,37.12
Delhi,25.39,28.54,43.53
Delhi,1.44,29.59,42.9
Delhi,28.08,32.44,51.5
Delhi,17.26,27.77,49.47
Delhi,36.84,30.32,32.58
Delhi,19.77,23.15,22.22
