humidity,temperature,wind_speed,historical_disaster_flag,risk_level
81.92,29.48,103.03,0,High
98.05,40.12,94.33,1,High
49.66,45.58,77.26,0,Medium
38.18,33.3,7.66,0,Low
80.65,26.7,116.48,0,High
35.57,30.4,5.26,1,Medium
79.58,46.93,39.1,0,Low
35.16,19.29,57.08,1,Medium
54.97,42.48,84.03,0,High
84.38,27.79,34.6,0,Low
35.99,15.24,94.43,0,High
82.46,30.14,68.25,1,High
73.47,30.55,67.83,0,Medium
64.29,33.45,36.47,1,Medium
37.17,28.48,102.41,1,High
42.51,24.69,79.43,0,Medium
73.15,28.41,97.68,1,Medium
27.2,38.84,55.43,1,Medium
32.18,37.98,53.54,0,Medium
70.42,26.94,10.52,1,Medium
92.69,38.09,31.9,0,Medium
77.35,29.83,32.67,1,Medium
56.46,21.68,36.71,0,Low
88.53,40.03,86.34,0,High
66.73,36.44,10.13,0,Low
46.39,19.77,12.41,0,Low
94.01,34.18,41.62,0,High
58.58,40.83,9.93,0,Medium
95.03,33.87,56.82,1,Medium
61.65,29.48,2.59,0,Low
31.22,33.28,13.03,0,Low
72.75,38.99,92.24,1,High
38.42,16.23,66.58,0,Medium
84.66,25.47,114.35,1,High
40.48,45.89,19.75,1,Medium
99.39,44.43,89.83,0,High
61.51,25.43,92.64,0,High
27.56,39.64,31.5,0,Medium
29.82,42.43,18.39,1,High
89.96,21.48,37.24,0,Low
60.06,19.75,1.67,1,Medium
74.21,19.02,60.76,0,Medium
35.98,41.54,85.85,0,High
29.9,45.61,47.71,0,High
73.03,46.54,34.37,0,Medium
64.42,35.92,12.71,1,Medium
97.3,34.67,111.96,0,High
82.78,15.59,13.1,0,Low
38.61,32.52,72.72,0,Medium
53.01,27.35,51.11,0,Medium
56.31,23.18,28.4,0,Low
28.42,17.2,71.33,1,High
44.83,19.75,110.52,1,High
32.29,18.81,2.54,1,Medium
24.27,34.51,81.69,0,High
60.36,43.88,102.14,1,High
38.94,23.23,68.55,0,Low
61.9,18.36,100.02,1,High
27.93,42.84,108.32,0,High
82.36,36.2,93.48,1,High
61.14,43.3,55.54,0,Medium
41.32,19.61,57.35,0,Medium
49.4,27.09,39.3,0,Low
43.75,46.31,109.96,0,High
62.83,43.0,78.31,0,Medium
70.63,24.51,88.19,1,High
88.86,19.36,73.73,1,High
26.76,45.89,16.49,0,High
67.49,40.83,95.41,0,High
67.21,18.14,73.94,1,High
65.79,30.38,62.72,0,Medium
59.37,34.79,111.75,1,High
27.02,36.71,50.23,0,Medium
46.69,44.65,91.5,1,High
45.16,20.2,17.73,0,Low
50.67,39.08,66.36,0,Medium
58.35,27.42,118.4,0,High
29.48,43.07,76.45,1,High
74.89,15.41,54.52,0,Medium
